title,areacode,addr1,cat2,mapx,mapy,firstimage
가거도(소흑산도),38,전라남도 신안군 흑산면 가거도길 38-2,A0101,125.1125145,34.07401665,
가계해수욕장,38,전라남도 진도군 고군면 신비의바닷길 47,A0101,126.3547412,34.43545949,http://tong.visitkorea.or.kr/cms/resource/36/3079736_image2_1.jpg
가고파 꼬부랑길 벽화마을,36,경상남도 창원시 마산합포구 성호서7길 15-8,A0203,128.5696553,35.2077664,http://tong.visitkorea.or.kr/cms/resource/55/2033255_image2_1.jpg
가고파캠핑장,36,경상남도 산청군 시천면 지리산대로1478번길 31-10,A0302,127.8177481,35.24003823,http://tong.visitkorea.or.kr/cms/resource/33/2799833_image2_1.JPG
가곡국민여가캠핑장,32,강원특별자치도 삼척시 가곡면 탕곡리,A0302,129.2080294,37.15214937,http://tong.visitkorea.or.kr/cms/resource/98/2994098_image2_1.jpg
가곡유황온천&스파,32,강원특별자치도 삼척시 가곡면 탕곡리,A0202,129.2062296,37.15074949,http://tong.visitkorea.or.kr/cms/resource/54/2994054_image2_1.jpg
가나아트센터,1,서울특별시 종로구 평창30길 28,A0206,126.9751811,37.61220999,http://tong.visitkorea.or.kr/cms/resource/19/1570619_image2_1.jpg
가나아트파크,31,경기도 양주시 장흥면 권율로 117,A0202,126.9497497,37.72545191,http://tong.visitkorea.or.kr/cms/resource/46/2010746_image2_1.jpg
가남체육공원,31,경기도 여주시 가남읍 대명산길 98,A0202,127.5349142,37.20170935,http://tong.visitkorea.or.kr/cms/resource/71/2777971_image2_1.jpg
가덕도,6,부산광역시 강서구 천성동 308-2,A0101,128.8169442,35.02296383,http://tong.visitkorea.or.kr/cms/resource/61/2716261_image2_1.jpg
가덕도 등대,6,부산광역시 강서구 외양포로 10,A0101,128.8295937,35.00064712,http://tong.visitkorea.or.kr/cms/resource/88/1982388_image2_1.jpg
가덕도 연대봉,6,부산광역시 강서구 천성동,A0101,128.8216714,35.03175182,
가덕도대항인공동굴,6,부산광역시 강서구 대항동 393-9,A0101,128.8274686,35.01330955,http://tong.visitkorea.or.kr/cms/resource/67/2800367_image2_1.jpg
가덕도외양포전망대,6,부산광역시 강서구 대항동,A0205,128.8310519,35.00178313,http://tong.visitkorea.or.kr/cms/resource/22/3015322_image2_1.JPG
가덕산,31,경기도 가평군 북면,A0101,127.5683098,37.92023219,http://tong.visitkorea.or.kr/cms/resource/23/1900123_image2_1.jpg
가라산,36,경상남도 거제시 남부면 다대리,A0101,128.6303347,34.74105029,
가람관광농원,36,경상남도 합천군 봉산면 인덕로 930,A0302,128.0576567,35.58745884,http://tong.visitkorea.or.kr/cms/resource/51/2741151_image2_1.jpg
가람리조트,32,강원특별자치도 홍천군 두촌면 부채들길 29,A0202,128.0183741,37.8364809,http://tong.visitkorea.or.kr/cms/resource/68/2762468_image2_1.JPG
가람문학관,37,전북특별자치도 익산시 가람1길 76 가람문학관,A0206,127.084495,36.03536023,http://tong.visitkorea.or.kr/cms/resource/62/2994662_image2_1.jpg
가람화랑,1,서울특별시 종로구 인사동10길 11,A0206,126.9856035,37.5742757,
가래골 농원캠핑장2,31,경기도 포천시 창수면 포천로2811번길 178,A0302,127.1549676,37.99413264,http://tong.visitkorea.or.kr/cms/resource/78/2743978_image2_1.jpg
가래골캠핑장,31,경기도 포천시 창수면 포천로2811번길 178,A0302,127.1576007,37.99332722,http://tong.visitkorea.or.kr/cms/resource/22/2726922_image2_1.jpg
가래실 문화마을,35,경상북도 영천시 화산면 가래실로 364,A0201,128.8892739,36.03280701,
