title,areacode,addr1,cat2,mapx,mapy,firstimage
벽운계곡,1,서울특별시 노원구 상계동,A0101,127.0631794,37.68313388,http://tong.visitkorea.or.kr/cms/resource/98/3006898_image2_1.jpg
고덕동 생태경관 보전지역,1,서울특별시 강동구 고덕동 396번지 일대,A0101,127.149311,37.56702671,http://tong.visitkorea.or.kr/cms/resource/05/1894505_image2_1.jpg
탄천,1,서울특별시 강남구 율현동,A0101,127.1036173,37.49312891,
창덕궁 향나무,1,서울특별시 종로구 율곡로 99,A0102,126.9894641,37.5792863,http://tong.visitkorea.or.kr/cms/resource/47/2031847_image2_1.jpg
수락산 당고개지구 공원,1,서울특별시 노원구 상계로 273,A0101,127.0758065,37.66875522,http://tong.visitkorea.or.kr/cms/resource/04/739104_image2_1.jpg
수성동계곡,1,서울특별시 종로구 옥인동 185-3,A0101,126.9631997,37.58227992,http://tong.visitkorea.or.kr/cms/resource/15/2780615_image2_1.png
남산 야외식물원,1,서울특별시 용산구 소월로 323,A0101,126.9969034,37.54156581,http://tong.visitkorea.or.kr/cms/resource/85/2526385_image2_1.jpg
백악마루,1,서울특별시 종로구 부암동 30,A0101,126.9695127,37.59394812,
온수도시 자연공원(잣절공원),1,서울특별시 구로구 고척로3길 86-52,A0101,126.8381773,37.50096491,http://tong.visitkorea.or.kr/cms/resource/01/2667401_image2_1.jpg
150년 수령 느티나무,1,서울특별시 양천구 목4동 760-28,A0102,126.8687929,37.53768619,http://tong.visitkorea.or.kr/cms/resource/79/2611479_image2_1.jpg
길동생태공원,1,서울특별시 강동구 천호대로 1291,A0101,127.1568388,37.54131872,
"지양산(무장애숲길,유아숲체험원)",1,서울특별시 양천구 신월동,A0101,126.8293887,37.52101798,http://tong.visitkorea.or.kr/cms/resource/92/2612192_image2_1.bmp
매헌 시민의 숲,1,서울특별시 서초구 매헌로 99,A0101,127.0369572,37.47303838,http://tong.visitkorea.or.kr/cms/resource/66/2668466_image2_1.jpg
관악산계곡,1,서울특별시 관악구 관악로 1,A0101,126.9474797,37.45910228,
서울창포원,1,서울특별시 도봉구 마들로 916,A0101,127.0481278,37.6893801,http://tong.visitkorea.or.kr/cms/resource/23/2356723_image2_1.jpg
거북선나루터,1,서울특별시 용산구 이촌동 302-183,A0101,126.9676539,37.51827077,http://tong.visitkorea.or.kr/cms/resource/84/2791384_image2_1.jpg
광나루한강공원 암사생태공원,1,서울특별시 강동구 선사로 83-66,A0101,127.1222834,37.55001709,
북한산백운대(우이동),1,서울특별시 도봉구 도봉로191길 88-94,A0101,127.0388426,37.68981322,http://tong.visitkorea.or.kr/cms/resource/83/2795083_image2_1.jpeg
도산공원,1,서울특별시 강남구 도산대로45길 20,A0101,127.0338117,37.52146325,
푸른수목원,1,서울특별시 구로구 연동로 240,A0101,126.8240847,37.48308063,
선바위(선암),1,서울특별시 종로구 통일로18가길 26,A0102,126.9589447,37.57892746,http://tong.visitkorea.or.kr/cms/resource/07/2780607_image2_1.png
삼각산,1,서울특별시 강북구 삼양로173길 460,A0101,126.9909006,37.65824658,
북서울 꿈의숲,1,서울특별시 강북구 월계로 173,A0101,127.0407498,37.62338765,http://tong.visitkorea.or.kr/cms/resource/86/2526686_image2_1.jpg
관악산자연공원,1,서울특별시 관악구 신림동,A0101,126.9455546,37.4663403,http://tong.visitkorea.or.kr/cms/resource/38/3081138_image2_1.JPG
관음사국기봉,1,서울특별시 관악구 남현동 산 62-1,A0101,126.9767879,37.4674074,http://tong.visitkorea.or.kr/cms/resource/56/2796456_image2_1.jpg
돈암동아리랑고개,1,서울특별시 성북구 정릉동,A0101,127.0157196,37.59519047,http://tong.visitkorea.or.kr/cms/resource/42/3053742_image2_1.jpg
일자산자연공원,1,서울특별시 강동구 동남로 660,A0101,127.1508007,37.5327335,http://tong.visitkorea.or.kr/cms/resource/88/659488_image2_1.jpg
홍릉수목원,1,서울특별시 동대문구 회기로 57 (청량리동),A0101,127.0426645,37.59173025,http://tong.visitkorea.or.kr/cms/resource/57/3013857_image2_1.JPG
남태령고개,1,서울특별시 관악구 남현동,A0101,126.986951,37.45980013,http://tong.visitkorea.or.kr/cms/resource/11/3082011_image2_1.JPG
용마산,1,서울특별시 중랑구 용마산로62길 53,A0101,127.0948573,37.57824942,http://tong.visitkorea.or.kr/cms/resource/89/1894589_image2_1.jpg
관악산공원 야외식물원,1,서울특별시 관악구 대학동 203번지 일대,A0101,126.9472964,37.45856901,http://tong.visitkorea.or.kr/cms/resource/45/755545_image2_1.jpg
창덕궁 다래나무,1,서울특별시 종로구 율곡로 99,A0102,126.9892417,37.58650767,http://tong.visitkorea.or.kr/cms/resource/85/1568385_image2_1.jpg
북한산국립공원(서울),1,서울특별시 성북구 보국문로 262,A0101,126.9943264,37.62154536,http://tong.visitkorea.or.kr/cms/resource/45/2526645_image2_1.jpg
청계산,1,서울특별시 서초구 원터길,A0101,127.0543676,37.44168677,
궁동저수지 생태공원,1,서울특별시 구로구 궁동,A0101,126.8293198,37.5012175,
수락산,1,서울특별시 노원구 상계동 산1-1,A0101,127.073259,37.68548379,http://tong.visitkorea.or.kr/cms/resource/94/739094_image2_1.jpg
배봉산,1,서울특별시 동대문구 전농동,A0101,127.0643739,37.58078191,
관악산,1,서울특별시 관악구 관악로,A0101,126.9540988,37.44840364,
헌인릉 생태경관보전지역(오리나무림),1,서울특별시 서초구 헌인릉길 34,A0101,127.0819812,37.4642652,http://tong.visitkorea.or.kr/cms/resource/06/1860206_image2_1.jpg
양재천 생태공원,1,서울특별시 서초구 바우뫼로12길,A0101,127.0306358,37.46568356,http://tong.visitkorea.or.kr/cms/resource/18/1900718_image2_1.jpg
구룡산(서울),1,서울특별시 서초구 염곡동,A0101,127.0615995,37.46907817,http://tong.visitkorea.or.kr/cms/resource/64/2357764_image2_1.jpg
우이동계곡,1,서울특별시 강북구 우이동,A0101,127.0047073,37.67285624,
창경궁대온실,1,서울특별시 종로구 창경궁로 185 (와룡동),A0101,126.9964635,37.57893368,http://tong.visitkorea.or.kr/cms/resource/45/3056645_image2_1.jpg
인왕산,1,서울특별시 종로구 인왕산로1길 29,A0101,126.9640832,37.57356706,
산기슭 공원,1,서울특별시 금천구 독산로54길 6-1,A0101,126.9071499,37.463015,
도봉산,1,서울특별시 도봉구 도봉동,A0101,127.0184192,37.69698701,http://tong.visitkorea.or.kr/cms/resource/65/1894465_image2_1.jpg
망우산(서울),1,서울특별시 중랑구 망우동 산 69-1,A0101,127.1056031,37.59428109,http://tong.visitkorea.or.kr/cms/resource/89/1902989_image2_1.jpg
백사실계곡,1,서울특별시 종로구 부암동 115,A0101,126.9663489,37.60048342,
월드컵공원 유아숲체험원,1,서울특별시 마포구 월드컵로 365 (상암동),A0101,126.8870625,37.5725158,http://tong.visitkorea.or.kr/cms/resource/90/3057990_image2_1.jpg
무수골계곡,1,서울특별시 도봉구 도봉로169길 265,A0101,127.0323019,37.67635633,
노원 불빛정원,1,서울특별시 노원구 화랑로 610,A0101,127.0932978,37.62430793,
올림픽공원들꽃마루,1,서울특별시 송파구 올림픽로 424,A0101,127.1229758,37.52098714,
응봉산(서울),1,서울특별시 성동구 금호동4가 1540,A0101,127.0281782,37.54717961,
강서습지생태공원,1,서울특별시 강서구 양천로27길 279-23,A0101,126.8171491,37.58608798,
홍제폭포,1,서울특별시 서대문구 연희동 170-181,A0101,126.9357023,37.57987971,http://tong.visitkorea.or.kr/cms/resource/83/2796383_image2_1.jpg
북악산,1,서울특별시 종로구 청운동,A0101,126.9737151,37.59315384,
초안산,1,서울특별시 노원구 월계동,A0101,127.0449907,37.63911089,http://tong.visitkorea.or.kr/cms/resource/83/2023883_image2_1.jpg
홍릉숲,1,서울특별시 동대문구 회기로 57,A0101,127.0406813,37.59245235,
아차산 고구려정,1,서울특별시 광진구 구의동 3,A0101,127.1005658,37.55373848,http://tong.visitkorea.or.kr/cms/resource/66/2796466_image2_1.jpg
여의도샛강생태공원,1,서울특별시 영등포구 여의동로 48,A0101,126.9218442,37.51873934,
긴고랑계곡,1,서울특별시 광진구 중곡동,A0101,127.096266,37.56194023,http://tong.visitkorea.or.kr/cms/resource/48/3052748_image2_1.jpg
과학동아천문대,1,서울특별시 용산구 청파로 109,A0101,126.9633789,37.53373001,http://tong.visitkorea.or.kr/cms/resource/33/2741633_image2_1.png
양화인공폭포,1,서울특별시 영등포구 노들로 11,A0101,126.8817497,37.55063214,http://tong.visitkorea.or.kr/cms/resource/87/2779987_image2_1.jpg
자생식물학습장,1,서울특별시 종로구 창경궁로 185,A0101,126.9938554,37.57767823,http://tong.visitkorea.or.kr/cms/resource/45/1568345_image2_1.jpg
아차산 어울림정원,1,서울특별시 광진구 워커힐로 127,A0101,127.101288,37.55196093,
북한산 족두리봉,1,서울특별시 은평구 불광동 산 43-108,A0101,126.9352735,37.6170726,http://tong.visitkorea.or.kr/cms/resource/13/2796513_image2_1.jpg
불암산,1,서울특별시 노원구 덕릉로130가길 22,A0101,127.0882469,37.67256334,http://tong.visitkorea.or.kr/cms/resource/86/739086_image2_1.jpg
서울 신림동 굴참나무,1,서울특별시 관악구 난곡로35길 28-7,A0102,126.9169738,37.4710198,
안양천 (제방)벚꽃길,1,서울특별시 영등포구 양평동 488,A0101,126.8805117,37.52507676,http://tong.visitkorea.or.kr/cms/resource/64/2779864_image2_1.png
관악산 생태공원,1,서울특별시 관악구 석수동,A0101,126.9260355,37.42082301,
봉화산(서울),1,서울특별시 중랑구 신내로21길,A0101,127.0866155,37.60865685,http://tong.visitkorea.or.kr/cms/resource/36/1894536_image2_1.jpg
방이동 생태경관 보전지역,1,서울특별시 송파구 동남로 397,A0101,127.1403912,37.51208571,http://tong.visitkorea.or.kr/cms/resource/95/1894495_image2_1.jpg
진관사계곡,1,서울특별시 은평구 진관길 73,A0101,126.9465497,37.63792871,
대모산도시자연공원,1,서울특별시 강남구 광평로10길 30-71,A0101,127.0750897,37.47758576,
여의천,1,서울특별시 서초구 신원동,A0101,127.0490899,37.45804589,http://tong.visitkorea.or.kr/cms/resource/31/2391331_image2_1.jpg
우면산자연생태공원,1,서울특별시 서초구 성촌6길 1,A0101,127.0206867,37.46725542,
한강,1,서울특별시 성동구 강변북로 257,A0101,127.0416216,37.53892803,
오동근린공원 유아숲체험장,1,서울특별시 강북구 번동,A0101,127.0327448,37.63222814,http://tong.visitkorea.or.kr/cms/resource/70/3084470_image2_1.JPG
서울식물원,1,서울특별시 강서구 마곡동로 161 (마곡동),A0101,126.8360145,37.56922361,http://tong.visitkorea.or.kr/cms/resource/60/2658460_image2_1.jpg
남산순환나들길,1,서울특별시 중구 남산공원길 609,A0101,126.9868789,37.5547391,http://tong.visitkorea.or.kr/cms/resource/94/2796194_image2_1.jpg
반포 서래섬,1,서울특별시 서초구 신반포로11길 40,A0101,126.9926797,37.50768356,http://tong.visitkorea.or.kr/cms/resource/87/2527087_image2_1.jpg
